loss,mae,val_loss,val_mae
0.06747333705425262,0.16361740231513977,0.0224070455878973,0.1042100042104721
0.03390197828412056,0.11956243962049484,0.03310488536953926,0.11496183276176453
0.02749425359070301,0.10694898664951324,0.010826065205037594,0.07600416988134384
0.020870361477136612,0.0975533053278923,0.05424366518855095,0.15096934139728546
0.03292559087276459,0.1075158342719078,0.028932135552167892,0.11352413147687912
0.029821697622537613,0.10559381544589996,0.010342014953494072,0.06454432755708694
0.01881471276283264,0.09066136926412582,0.045276008546352386,0.149269700050354
0.03469055891036987,0.10765226185321808,0.017510518431663513,0.08644378185272217
0.030375229194760323,0.10885076224803925,0.013974125497043133,0.07791334390640259
0.02844039909541607,0.10589006543159485,0.007461258210241795,0.05703618377447128
0.018405331298708916,0.09095380455255508,0.015370418317615986,0.0812564268708229
0.019289221614599228,0.0929301306605339,0.008491301909089088,0.06302200257778168
0.02231539972126484,0.09561719745397568,0.006161872763186693,0.0530693419277668
0.018547238782048225,0.08986690640449524,0.03929717093706131,0.11281944811344147
0.01540351938456297,0.08556941151618958,0.00566984573379159,0.04942482337355614
0.01599547266960144,0.08571337163448334,0.02614373154938221,0.10358307510614395
0.014721866697072983,0.08374044299125671,0.02310578152537346,0.09472447633743286
0.013635999523103237,0.0813305452466011,0.006532398518174887,0.05427036061882973
0.014452554285526276,0.08201868832111359,0.0067062415182590485,0.05687021091580391
0.01420194935053587,0.08036017417907715,0.020732086151838303,0.09684646129608154
