Price,Adj Close,Close,High,Low,Open,Volume
Ticker,M&M.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS
Date,,,,,,
2010-01-04,234.5592803955078,282.4624938964844,284.5,271.375,271.375,3739348
2010-01-05,238.87744140625,287.6625061035156,294.0,280.25,283.75,5197364
2010-01-06,244.6072998046875,294.5625,296.7250061035156,288.07501220703125,289.92498779296875,6827232
2010-01-07,239.94662475585938,288.95001220703125,296.11248779296875,285.2875061035156,295.75,3304396
2010-01-08,239.9673614501953,288.9750061035156,291.5,286.63751220703125,291.25,2527272
2010-01-11,240.6524200439453,289.79998779296875,294.0,287.5,290.5,3167868
2010-01-12,247.50328063964844,298.04998779296875,299.75,285.63751220703125,285.63751220703125,4942468
2010-01-13,239.4897918701172,288.3999938964844,297.5,283.6499938964844,295.5249938964844,4584900
2010-01-14,243.23704528808594,292.9125061035156,295.5,287.7749938964844,290.0,4109484
2010-01-15,240.23716735839844,289.29998779296875,295.5249938964844,287.51251220703125,293.88751220703125,3066960
2010-01-18,245.72825622558594,295.9125061035156,297.7250061035156,287.5375061035156,288.75,3562064
2010-01-19,240.73544311523438,289.8999938964844,296.2250061035156,287.67498779296875,294.75,2497004
2010-01-20,237.79786682128906,286.36248779296875,293.7250061035156,285.0625,291.25,3390516
2010-01-21,237.67332458496094,286.2124938964844,293.0,284.75,285.75,4982164
2010-01-22,235.23399353027344,283.2749938964844,285.95001220703125,274.75,281.75,3873740
2010-01-25,222.393798828125,267.8125,288.13751220703125,264.0249938964844,285.0,10824500
2010-01-27,209.864990234375,252.72500610351562,268.5,248.75,266.20001220703125,11011728
2010-01-28,212.231689453125,255.5749969482422,261.67498779296875,254.1875,255.0,4491372
2010-01-29,211.2455596923828,254.3874969482422,258.0,246.9375,255.0,3918172
2010-02-01,217.3905792236328,261.7875061035156,263.8500061035156,251.85000610351562,255.3000030517578,3360188
2010-02-02,211.7126922607422,254.9499969482422,266.375,253.75,263.75,2531300
2010-02-03,218.8541717529297,263.54998779296875,264.4125061035156,256.04998779296875,256.25,2630556
2010-02-04,211.1313934326172,254.25,263.3500061035156,251.5,263.17498779296875,3005292
2010-02-05,202.67161560058594,244.0625,251.25,241.47500610351562,249.75,3751776
2010-02-08,207.5606231689453,249.9499969482422,252.5,241.8000030517578,248.75,3964924
2010-02-09,205.77523803710938,247.8000030517578,253.58749389648438,245.3249969482422,245.3249969482422,2370192
2010-02-10,198.95550537109375,239.58749389648438,251.25,237.5,250.75,4258584
2010-02-11,204.86181640625,246.6999969482422,249.0,240.75,242.47500610351562,2966324
2010-02-15,206.6990966796875,248.91250610351562,252.4375,247.5,250.0,3113388
2010-02-16,210.83035278320312,253.8874969482422,255.75,247.625,249.0749969482422,1299928
2010-02-17,213.6330108642578,257.26251220703125,260.2124938964844,255.5,256.5,2328552
2010-02-18,210.34249877929688,253.3000030517578,258.70001220703125,250.27499389648438,258.70001220703125,1857412
2010-02-19,207.955078125,250.4250030517578,254.25,248.28750610351562,250.25,2149848
